product_name,manufacturer,cleaned_datasheet_text
KSM 100-4 Safety Controller PROFINET Datasheet EN (REV A),Kollmorgen,cm my cy cmy basic componentries series ksm for more informations please visit our website product ksm open programmable safe plc for machinery and plant construction the modules can be enhanced up to safe or up tp to basic module supplies safe safe inputs and safe cut off channels as well as memorycard slot for easy program and configuration change option fieldbus interface can be integrated the continious function chart oriented programming frame safeplc allows an easy and comfortable implementation ofsafety related tasks the firmware of modules offers an comprehensive library for standard functions for safe signalpreprocessing of safety related sensors and actors as well as for practical technology functions especially for safe motionof drives the spectrum of the modules reaches from conventional safe logic processing through simple safe speed monitoringtasks of single axes up to complex safe more dimensional and range zone monitoring in multiple axes processing the profinet communication device used to exchange non safe data between ksm modular device and controlsystems the configuration of the data via safeplc of modular device the device must be parameterized as aprofinet slave device safe configurable as input or output safe inputs cut off channels thereof safe relay output and messaging outputs in the basic module expandable up to safe and or safe axes via backplane bus connectors to snap on head rail integrated fieldbus interface profinet cfc oriented programming with safeplc software comprehensive library with safety related sensors and actors complete ad safety functions for safe motion according to en dimensional functions for safe and range zone monitoring possible parameter administration for expansion modules in the basic module cross circuit monitoring comprehensive diagnostics integrated in firmware coded status display using display and mounted in the front side button in front side pl in accordance to en sil in accordance to en sil years max period of application max number of extension modules interface for extension modules compact assembly ksm bus extension safe digital input lines safe digital lines safe digital output lines safe safe relay outputs standard output lines pulse output lines detection module decentralize assembly type of connectors pluggable terminals in mode supply voltage power consumption rated data digital in rated data digital out rated data relay output pulse output lines detction max fuse on supply voltage protection rating climate class size hxdxw mm mounting on standard head rail max terminal technical data safety characteristics general data data interface electrical data environmental data mechanical data kollmorgen europe gmbhpempelfurtstr ratingengermany order informations modular series basic module with profinet powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital digital messaging and auxiliary output messaging and auxiliary output digital digital digital digital digital digital digital digital powersupply module volts powersupply module volts powersupply module vdc powersupply module vdc powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital digital messaging and auxiliary output messaging and auxiliary output digital digital digital digital digital digital digital digital powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital digital messaging and auxiliary output messaging and auxiliary output digital digital digital digital digital digital digital digital digital in digital in digital in digital in digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible pin out terminal diagram powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital in digital in pulse output pulse output relay output relay output powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital digital pulse output pulse output digital digital digital digital digital digital digital digital messaging and auxiliary output messaging and auxiliary output digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible digital inputs digital pulse outputs digital outputs relays digital outputs loside digital outputs hiside messaging outputs memory card door contacts door decentral enhanced modules profinet businterface terminal power supply vdc valve up valve down valve terminal valve terminal full documentation availableon the kollmorgen akd product dvd main valve safety without limits
KSM 122 Safety Controller Datasheet EN (REV A),Kollmorgen,cm my cy cmy extension componentries axis componentrie ksm for more informations please visit our website product ksm expansion module for safe motion of two drive axes with enhanced encoder interface the module is suitable for the usewith an series module the module will be connected to the basic module via the justby snapping it on the head rail the module supports encoder solutions resolver and also encoder solutions variable combination of encoders possible the module provides safe inputs for connecting safety related peripherals encoderinterface for front side and htl using terminal clamps safe inputs cross circuit monitoring by pulse outputs of the basic module comprehensive diagnostics implemented in fw powersupply via basic module technical data safety characteristics general data electrical data environmental data mechanical data pl in accordance to en sil in accordance to en safe digital input lines type of connectors drive monitoring number of axis sil years max period of application pluggable terminals axis encoder interface frontside max frequency inkr tll clock ssi type of connectors master mode mode max khz encoder interface terminals max frequency htl type of connectors power consumption rated data digital in protection rating climate class size hxdxw mm pluggable terminals mounting on standard head rail max terminal pin out terminal diagram sensorpowersupply of sensor sensorpowersupply of sensor digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in digital in digital in digital in digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible sensorpowersupply sensorpowersupply the variable encoder power supply has to be provided external it will be internal monitored sensor interface pin out incremental encoder absolut encoder ssi listener digital inputs data data ksm sketch example decentral enhanced modules orstandard fieldbus interface sensor power supply ksm power vdc main valve valve up valve down sensor power supply full documentation availableon the kollmorgen akd product dvd drive drive kollmorgen europe gmbhpempelfurtstr ratingengermany order information extension componentrie with double monitored axis safety without limits
KSM 131R Safety Controller Datasheet EN (REV A),Kollmorgen,cm my cy cmy extension componentries ksm for more informations please visit our website product ksm digital expansion series for the series the module will be connected to the main module via the by just clicking it in the expansion module provides safe which could be selectively configurated as an input or an output safe inputs messaging outputs and safe relay outputs safe inputs thereof ossd compatible safe configurable as input or output safe relay outputs messaging outputs short circuit monitoring multiplexing of contacts or contact amplification via external contactors in connection with internal monitoring comprehensive diagnostics implemented in fw technical data safety characteristics general data electrical data environmental data mechanical data pl in accordance to en sil in accordance to en safe digital input lines safe digital lines safe digital output lines safe safe relay outputs standard output lines pulse output lines detection type of connectors power consumption rated data digital in rated data digital out pulse output lines detction protection rating climate class size hxdxw mm sil years max period of application mounting on standard head rail max terminal feedback contact relay feedback contact relay feedback contact relay feedback contact relay relay output relay output relay output relay output powersupply module vdc powersupply module vdc gnd extern powersupply module vdc gnd extern powersupply module vdc digital digital pulse output pulse output the variable encoder power supply has to be provided external it will be internal monitored pin out terminal diagram feedback contact relay feedback contact relay feedback contact relay feedback contact relay relay output relay output relay output relay output messaging and auxiliary output messaging and auxiliary output digital in digital in digital in digital in digital in digital in digital in digital in digital in digital in digital in digital in digital inputs digital inputs ossd digital relay outputs pulse outputs messaging outputs ksm sketch example power supply vdc power supply vdc brake active full documentation availableon the kollmorgen akd product dvd kollmorgen europe gmbhpempelfurtstr ratingengermany order information extension componentrie digital safety without limits
KSM 100-1 Safety Controller PROFINET Datasheet EN (REV A),Kollmorgen,cm my cy cmy basic componentries series ksm for more informations please visit our website product ksm open programmable safe plc for machinery and plant construction the modules can be enhanced up to safe or up tp to basic module supplies safe inputs and safe cut off channels as well as memory card slot foreasy program and configuration change option fieldbus interface can be integrated the continious function chart oriented programming frame safeplc allows an easy and comfortable implementation ofsafety related tasks the firmware of modules offers an comprehensive library for standard functions for safe signalpreprocessing of safety related sensors and actors as well as for practical technology functions especially for safe motionof drives the spectrum of the modules reaches from conventional safe logic processing through simple safe speed monitoringtasks of single axes up to complex safe more dimensional and range zone monitoring in multiple axes processing the profinet communication device used to exchange non safe data between ksm modular device and controlsystems the configuration of the data via safeplc of modular device the device must be parameterized as aprofinet slave device safe inputs cut off channels thereoff safe relay output and messaging outputs in the basic module expandable up to safe and or safe axes via backplane bus connectors to snap on head rail integrated fieldbus interface profinet cfc oriented programming with safeplc software comprehensive library with safety related sensors and actors complete ad safety functions for safe motion according to en dimensional functions for safe and range zone monitoring possible parameter administration for expansion modules in the basic module cross circuit monitoring comprehensive diagnostics integrated in firmware coded status display using display and mounted in the front side button in front side pl in accordance to en sil in accordance to en sil years max period of application max number of extension modules interface for extension modules compact assembly ksm bus extension safe digital input lines safe digital lines safe digital output lines safe safe relay outputs standard output lines pulse output lines detection module decentralize assembly type of connectors pluggable terminals in mode supply voltage power consumption rated data digital in rated data digital out rated data relay output pulse output lines detction max fuse on supply voltage protection rating climate class size hxdxw mm mounting on standard head rail max terminal technical data safety characteristics general data data interface electrical data environmental data mechanical data relay output relay output digital in digital in digital in digital in digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible pin out terminal diagram powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital in digital in pulse output pulse output powersupply module volts powersupply module volts powersupply module vdc powersupply module vdc messaging and auxiliary output do messaging and auxiliary output do digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible digital inputs pulse outputs digital outputs relays digital outputs loside digital outputs hiside messaging outputs memory card decentral enhanced modules profinet businterface power supply vdc valve up valve down full documentation availableon the kollmorgen akd product dvd main valve kollmorgen europe gmbhpempelfurtstr ratingengermany order informations modular series basic module with profinet safety without limits
KSM 100-2 Safety Controller PROFINET Datasheet EN (REV A),Kollmorgen,cm my cy cmy basic componentries series ksm for more informations please visit our website product ksm powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital digital messaging and auxiliary output messaging and auxiliary output digital digital digital digital digital digital digital digital powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital digital messaging and auxiliary output messaging and auxiliary output digital digital digital digital digital digital digital digital messaging and auxiliary output messaging and auxiliary output digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in digital in digital in digital in digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible pin out terminal diagram powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital in digital in pulse output pulse output relay output relay output powersupply module volts powersupply module volts powersupply module vdc powersupply module vdc digital inputs digital pulse outputs digital outputs relays digital outputs loside digital outputs hiside messaging outputs memory card open programmable safe plc for machinery and plant construction the modules can be enhanced up to safe or up tp to basic module supplies safe safe inputs and safe cut off channels as well as memorycard slot for easy program and configuration change option fieldbus interface can be integrated the continious function chart oriented programming frame safeplc allows an easy and comfortable implementation ofsafety related tasks the firmware of modules offers an comprehensive library for standard functions for safe signalpreprocessing of safety related sensors and actors as well as for practical technology functions especially for safe motionof drives the spectrum of the modules reaches from conventional safe logic processing through simple safe speed monitoringtasks of single axes up to complex safe more dimensional and range zone monitoring in multiple axes processing the profinet communication device used to exchange non safe data between ksm modular device and controlsystems the configuration of the data via safeplc of modular device the device must be parameterized as aprofinet slave device safe configurable as input or output safe inputs cut off channels thereof safe relay output and messaging outputs in the basic module expandable up to safe and or safe axes via backplane bus connectors to snap on head rail integrated fieldbus interface profinet cfc oriented programming with safeplc software comprehensive library with safety related sensors and actors complete ad safety functions for safe motion according to en dimensional functions for safe and range zone monitoring possible parameter administration for expansion modules in the basic module cross circuit monitoring comprehensive diagnostics integrated in firmware coded status display using display and mounted in the front side button in front side pl in accordance to en sil in accordance to en sil years max period of application max number of extension modules interface for extension modules compact assembly ksm bus extension safe digital input lines safe digital lines safe digital output lines safe safe relay outputs standard output lines pulse output lines detection module decentralize assembly type of connectors pluggable terminals in mode supply voltage power consumption rated data digital in rated data digital out rated data relay output pulse output lines detction max fuse on supply voltage protection rating climate class size hxdxw mm mounting on standard head rail max terminal technical data safety characteristics general data data interface electrical data environmental data mechanical data foot switch decentral enhanced modules profinet businterface main valve power supply vdc valve up valve down ventil front ventil back valve up valve down full documentation availableon the kollmorgen akd product dvd kollmorgen europe gmbhpempelfurtstr ratingengermany order informations modular series basic module with profinet safety without limits
KSM 100-4 Safety Datasheet CANopen Datasheet EN (REV A),Kollmorgen,cm my cy cmy basic componentries series ksm for more informations please visit our website product ksm open programmable safe plc for machinery and plant construction the modules can be enhanced up to safe or up tp to basic module supplies safe safe inputs and safe cut off channels as well as memorycard slot for easy program and configuration change option fieldbus interface can be integrated the continious function chart oriented programming frame safeplc allows an easy and comfortable implementation ofsafety related tasks the firmware of modules offers an comprehensive library for standard functions for safe signalpreprocessing of safety related sensors and actors as well as for practical technology functions especially for safe motionof drives the spectrum of the modules reaches from conventional safe logic processing through simple safe speed monitoringtasks of single axes up to complex safe more dimensional and range zone monitoring in multiple axes processing the canopen communication device used to exchange non safe data between ksm modular device and controlsystems the configuration of the data via safeplc of modular device the device must be parameterized as acanopen slave device safe configurable as input or output safe inputs cut off channels thereof safe relay output and messaging outputs in the basic module expandable up to safe and or safe axes via backplane bus connectors to snap on head rail integrated fieldbus interface canopen cfc oriented programming with safeplc software comprehensive library with safety related sensors and actors complete ad safety functions for safe motion according to en dimensional functions for safe and range zone monitoring possible parameter administration for expansion modules in the basic module cross circuit monitoring comprehensive diagnostics integrated in firmware coded status display using display and mounted in the front side button in front side pl in accordance to en sil in accordance to en sil years max period of application max number of extension modules interface for extension modules compact assembly ksm bus extension safe digital input lines safe digital lines safe digital output lines safe safe relay outputs standard output lines pulse output lines detection type of connectors supply voltage power consumption rated data digital in rated data digital out rated data relay output module decentralize assembly pluggable terminals baudrate pulse output lines detction max fuse on supply voltage protection rating climate class size hxdxw mm mounting on standard head rail max terminal powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital digital messaging and auxiliary output messaging and auxiliary output digital digital digital digital digital digital digital digital powersupply module volts powersupply module volts powersupply module vdc powersupply module vdc powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital digital messaging and auxiliary output messaging and auxiliary output digital digital digital digital digital digital digital digital powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital digital messaging and auxiliary output messaging and auxiliary output digital digital digital digital digital digital digital digital digital in digital in digital in digital in digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible pin out terminal diagram powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital in digital in pulse output pulse output relay output relay output powersupply module volts powersupply module volts gnd external powersupply module vdc gnd external powersupply module vdc digital digital pulse output pulse output digital digital digital digital digital digital digital digital messaging and auxiliary output messaging and auxiliary output digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible digital inputs digital pulse outputs digital outputs relays digital outputs loside digital outputs hiside messaging outputs memory card terminal power supply vdc valve up valve down valve terminal valve terminal full documentation availableon the kollmorgen akd product dvd main valve safety without limits door contacts door decentral enhanced modules canopen businterface technical data safety characteristics general data data interface electrical data environmental data mechanical data kollmorgen europe gmbhpempelfurtstr ratingengermany order informations modular series basic module with canopen
Stepper Motor (IDC) Wire Colors and Pinout,Kollmorgen,idc stepper motor wiring for and series idc stepper motors on actuators series connection parallel connection yellow black yellow black orange orange flying leads phase colors yellow red phase colors black orange connection yellow black orange quick disconnect connector on motor or actuator motor end of cable pin function pin pin pin ground pin pin in some cases the stripes on the wires are not clearly visible check the connections using an ohm meter cable wire color or white red green or or purple or black the stepper motor cable is supplied with the actuators unless specified otherwise the motor connector is mounted on the motor end bell for the larger motors for the smaller motors such as and the connector is mounted on the actuator gear housing the motor leads exit the face of the motor and run through the gear housing to the connector
AKMH Datasheet EN (REV B),Kollmorgen,kollmorgen hygienic series kollmorgen new hygienic stainless steel washdown motors daily washdowns no tough hygienic environments finding supplier who can deliver easily cleaned and sanitized highly reliable solutions is critical to keep your equipment productive and protect your brand how do you know when you ve found great solution when it cleanable fast and built to last the new akmh from kollmorgen is built to withstand the most rigorous of washdown regimens the combination of the akmh construction and our use of the most rugged and corrosion resistant materials including stainless steel make for servo motor that will last the life of your machine the akmh makes for quick cleaning as well designed to withstand the toughest of cleaning regimens without the need for covers or guards the akmh will maximize your uptime and profits with sizes in multiple standard configurations the akmh family will open the door for more opportunities to replace expensive air or dirty axes with clean and high performing servo motor solution motor and cable with new legislation around safety being written every day it is important to choose the right suppliers kollmorgen has spent countless hours digging through agency documents in order to design the most hygienic servo motor ever made designed to meet the stringent guidelines defined by ehedg usda and nsf the akmh will be the last component on your machine that you will have to worry about rated power range kw continuous torque range nm peak torque range nm max speed rpm motor diameter mm summary of available akmh sizes see the akmh selection guide for more details length windings designed to optimize the machine cables designed for direct connection to the akd drive face and flange mounts available in both iec and nema rated speeds to continuous torques to peak torques to cables designed to meet nfpa without the need for configurable cable lengths to meters no intermediate all digital feedback with digital nameplate for brake linear thermal sensor integrates directly into the monitoring certifications pending kollmorgen corporation all rights reserved specifications are subject to change without notice it is the responsibility of the product user to determine the suitability of this product for specific application all trademarks are the property of their respective owners
SKS36S-SKM36S_DataSheet.pdf,Kollmorgen,standalone standalone safety motor feedback systems interface for servo motors they all share the new midi technology the special feature of this on very small code disc of only mm code track radius employs stic full scanning in doing so the system tes for eccentricity errors of code disc ball bearing and shaft which are inevitably found in conventional by arranging the code disc in the middle of the rotational axis high gular velocities are no longer limited by the code disc the encoder size is essentially determined by the chanical and electrical interfaces technologies such as chip on board are used to achieve this the number of components is reduced due to their high electrical and mechanical reliability as well as their high immunity to gnetic and electrostatic ce emc sil certified to minimum series mfb stems are well suited for the small size of the sincos on in functional chains of enables oriented machine functions facturers of miniature and the encoder is ture motors to significantly shorten the first member of generation their motors of optical encoders within the sincos product range periods motor feedback systems motor feedback system tapered shaft periods motor feedback systems certified according and periodsper revolution revolutions can bemeasured multiturn programming of thepositional value electronic type lable dimensional drawing proposed customer fitting lense screw din torx headthread tapped to din general tolerances to din iso pin and wire allocation sin cos data data colour of wires supply voltage process data channel process data channel process data channel process data channel ground connection grey or yellow channel green or purple channel the housing is electrically connected to the motor housing via the stator gnd connection of the supply voltage has no connection to the housing connection technology fixing technology programming tool view of the face stegman technical data to din tapered shaft single multi number of periods per revolution of the absolute ascertainable single sks multi skm inertial rotor moment code type for the absolute value mm see dimensional drawing code sequence for clockwise shaft rotation looking in direction see dimensional drawing measurement step at interpolation of the signals with bits angular seconds error limits for the digital absolute value via rs limits for evaluating the signals integral within period differential frequency for signals operating speed max angular acceleration operating torque starting torque permissible shaft movement dynamiclife of ball bearings working temperature rangestorage temperature range without packaging permissible relative humidity condensation not permissible resistance to vibration en to iec emc operating voltage range recommended supply voltage max operating current no loadavailable memory area within eeprom interface signals angular seconds angular seconds angular seconds process data channel sin refsin cos refcos analogue differential parameter channel rs data according iso by operation at synchronous motor performance level mission time with mating connector inserted and closed cover the emc according to the standards quoted is achieved when the motorfeedback system is mounted in an electrically conductive housing which isconnected to the central earthing point of the motor controller via cablescreen this is also where the gnd connection of the supply voltageis linked to must perform their own tests when other screen designs are used the motor feedback system can be used in safety relevant drive systems it fulfils the for category en and pl iso or en andiec applying safety certified hiperface motor feedback systems in safety relevant drive attention has to be paid to the implementation manual ordering information tapered shaft if applying the elctronic type label in connection with numericcontrollers attention should be paid to patent ep application of the electronic type label in connection with speed regulationis exempt part no stegman periods motor feedback systems certified according and periodsper revolution revolutions can bemeasured multiturn programming of thepositional value electronic type lable motor feedback system solid shaft mm dimensional drawing standalone face flange general tolerances to din iso pin and wire allocation view of the face pin colour of wires signal refsin process data channel sin process data channel refcos process data channel cos process data channel grey or yellow daten parameter channel green or purple daten parameter channel us ground connection encoder supply voltage housing potential connection type connector radial connection technology fixing technology programming tool stegman technical data to din solid shaft mm single multi number of periods per revolution of the absolute ascertainable single sks multi skm inertial rotor moment code type for the absolute value mm see dimensional drawing code sequence for clockwise shaft rotation looking in direction see dimensional drawing measurement step at interpolation of the signals with bits angular seconds error limits for the digital absolute value via rs limits for evaluating the signals frequency for signals operating speed max angular acceleration operating torque starting torque load capacity of shaft of ball bearings working temperature rangestorage temperature range without packaging permissible relative humidity condensation not permissible resistance to vibration en to iec emc operating voltage range recommended supply voltage max operating current no loadavailable memory area within eeprom interface signals angular seconds angular seconds process data channel sin refsin cos refcos analogue differential parameter channel rs data according iso by operation at synchronous motor performance level mission time the motor feedback system can be used in safety relevant drive systems it fulfils the for category en and pl iso or en andiec applying safety certified hiperface motor feedback systems in safety relevant drive attention has to be paid to the implementation manual with mating connector inserted ordering information standalone solid shaft mm face flange if applying the elctronic type label in connection with numericcontrollers attention should be paid to patent ep application of the electronic type label in connection with speedregulation is exempt part no single eeprom connector multi eeprom connector stegman electrical interface safe data transmission only leads high information content parameter channel electronic type label process data channel in real time data out data in process data channel parameter data channel rs supply voltage data out data in signal specification of the process data channel signal diagram for clockwise rotation of the shaft looking in direction volt volt access to the process data used for speed sophisticated technology guarantees stable trol to the sine and cosine signals is plitudes of the analogue signals across all tically always online when the supply voltage fied environmental conditions with maximum is applied the speed controller has access to variation of only this information at any time characteristics applicable to all permissible environmental conditions signalsignal peak peak vss of sin cossignal offset refsin refcos recommended receiver circuit for sine and cosine signals differential amplifier withhigh suppression the output circuit of the process data channel within the sincos encoder stegman settings type id command free eeprom bytes overview of commands supported command byte read position set position read analogue value read counter increase counter reset counter read data save data determine status of data field create data field determine available memory area change access code read encoder status read out name plate encoder reset allocate encoder address read serial number and program version configure serial interface overview of status messages error type status code the commands thus labelled de the parameter code code is byte inserted into the protocol for additional safeguarding of vital system parameters against accidental overwriting code comments channel number channel number temperature temperature encoder type encoder type the encoder has recognised no error faulty compensating data faulty internal angular offset data field partitioning table damaged analogue limit values not availableinternal bus not operationalinternal checksum error encoder reset occurred as result of program monitoring parity error checksum of the data transmitted is incorrect unknown command code number of data transmitted is incorrect command argument transmitted is not allowed the selected data field must not be written to incorrect access code size of data field stated can not be changed word address stated is outside data field access to data field analogue signals outside specification speed too high no position formation possible singleturn position unreliable positional error multiturn positional error multiturn positional error multiturn monitoring the value of the analogue signals process data led current critical dirt led breakage encoder temperature critical counter overflow stegman accessories connection tool dimensional drawings and ordering information stranded straight wires wire shrunk area assembly tool descriptionassembly tool servo clamps set comprises pieces type part no servo clamp general tolerances according to din iso general tolerances according to din iso programming tool for devicestypepart motor feedback system bellows coupling max shaft offset radial mm axial mm angle degrees torsion spring stiffness bellows of stainless steel hubs of aluminium part no shaft diameter stegman dimensional drawings and ordering information round screw system loose male connector straight screened loose female connector straight screened for field assembly adapter side for field assembly encoder side mm mm approx approx female connector straight with screened flexible adapter side cable stegman accessories connection systems dimensional drawings and ordering information mechanical adaptors adaptor flange of aluminium for face mount flange spigot mm part no to mm servo flange adaptor flange of aluminium for face mount flange spigot mm part no to mm face mount flange general tolerances according to din iso general tolerances according to din iso adaptor flange of aluminium for face mount flange spigot mm part no to mm square mounting plate stegman general tolerances according to din iso adaptor flange of aluminium for face mount flange spigot mm part no to mm square mounting plate with shock absorbers general tolerances according to din iso adaptor flange of aluminium for face mount flange spigot mm part no to mm square mounting plate general tolerances according to din iso mounting angle incl fixing set for encoder with face mount flange part no flange spigot diameter mm stegman sick ag waldkirch germany stegmann gmbh donaueschingen germany
Washdown Data Sheet EN revC,Kollmorgen,the perfect mix of performance and hygienefor any food industry or washdown application kollmorgen family of high torque density servomotors provides the widest range of features and options in the industry our robust selection allows you to select exactly the right motor for your application without having to over spec and over pay your application is unique and there no reason to treat it any other way food industry regulations place numerous and often stringent demands on systemmanufacturers however depending on your application the specific requirements for your motion components can range from simple to complex it costs too much money to put an over specified motor in washdown application and it takes up too much time and effort to modify housing for hygienic application why pay for this approach or any other motor that doesn perform the way you need it to whatever your application kollmorgen has the exact motor you need with kollmorgen diverse selection you don have to settle for just any motor you can select the exact motor for your application and get the job done right achieving optimal results whether you re looking to put you motor near wet area or plan to expose it to high pressure washdown the kollmorgen family of servomotors provides right fit for your specific application you can select from the robust of including the exclusive washdown food grade models and stainless steel series all with proven track record for dependability superior functionality and benefits performance certifications ranging from basic up to and fda thousands of model options standard severe washdown options all stainless options up to and grade mounts seamlessly with planetary gearbox stainless round food versions available food industry or washdown applications specifications and options akm washdown akm food stainless steel stainless steel stainless steel housing stainless steel shaft food grade epoxy paint needle printed nameplate laser etched nameplate coated laminations pressure compensation diaphragm food grade bearing grease oil filled round housing ingress protection ip agency approvals continuous stall torque nm feedback types optional holding brake relative price submersible to depths of ft ul ce fda ul ce fda solutions available kollmorgen corporation all rights reserved specifications are subject to change without notice it is the responsibility of the product user to determine the suitability of this product for specific application all trademarks are the property of their respective owners
KAS HMI Datasheet (AKI-CDC-MOD-12T_15T_21T) EN (REV A),Kollmorgen,ideal for medium to large scale hmi applications that require more power or functionality such as terminals give you full open and expandable hmi with kvb runtime software in robust industrial pc hardware with high connectivity aki series memory expansion hdd expansion application memory audio output graphics pdf viewer web browser standard performance premium intel atom ghz windows ce windows ce intel core usb windows standard or embedded sd card sd card via usb or more industrial class quality components and engineering design set in robust lightweight aluminum construction make this reliable operator panel which meets global environmental requirements long availability of components ensures your applications life time and features such as diagnostic monitor and unit health status mean you can plan service on demand and preemptive maintenance without disrupting your production schedule aki cdc specifications electrical and mechanical specifications wxga backlight wxga backlight wxga backlight screen size active display front rear seal touch screen material reverse side material processor ram real time clock power consumption at rated voltage polyester on glass resistive overlay autotex or aluminum yes on chip slow power supply operating temperature storage temperature relative operating humidity certificates and approvals ce approvals ul cul approvals when product or packing is marked serial ports dc dc the power supply must conform with the requirements according to iec and iec and cul the power supply must conform with the requirementsfor class ii power supplies emc directive tested according to emission immunity usb host max output current ma field buses expansion modules extension module slot for fieldbus optional front panel cut out dimensions mounting depth mm mm including clearance mm mm including clearance mm mm including clearance kollmorgen corporation all rights reserved revision specifications are subject to change without notice it is the responsibility of the product user to determine the suitability of this product for specific application all trademarks are the property of their respective owners
KAS HMI Datasheet (AKI-CDA-MOD-04T_07T_10T) EN (REV A),Kollmorgen,space price or reliability issues should not limit your application with kollmorgen performance panels any small to medium sized hmi application can have an intuitive graphic interface that ll make operation easier for your customers these units have no fan or rotating hard drive which means no moving parts aki series memory expansion hdd expansion application memory audio output graphics pdf viewer web browser standard performance premium intel atom ghz windows ce windows ce intel core usb windows standard or embedded sd card sd card via usb or more with robust lightweight aluminum construction this is reliable operator panel which meets environmental requirements quality through design components and production facilities aki cda specifications electrical and mechanical specifications million colors true color backlight backlight million colors true color backlight screen size active display front rear seal touch screen material reverse side material processor ram real time clock power consumption at rated voltage polyester on glass resistive overlay autofex eba aluminum yes on chip power supply operating temperature storage temperature relative operating humidity certificates and approvals ce approvals ul cul approvals when product or packing is marked dc dc the power supply must conform with the requirements according to iec and iec and cul the power supply must conform with the requirementsfor class ii power supplies noise tested according to emission and immunity serial port contact with female with standard locking screws unc serial port contact with female with standard locking screws unc usb host max output current ma field buses expansion modules extension module slot for fieldbus optional front panel cut out dimensions mounting depth mm mm including clearance mm mm including clearance mm mm including clearance kollmorgen corporation all rights reserved revision en specifications are subject to change without notice it is the responsibility of the product user to determine the suitability of this product for specific application all trademarks are the property of their respective owners
KAS HMI Datasheet (AKI-CDB-MOD-07T_12T_15T) EN (REV A),Kollmorgen,for demanding hmi applications or large projects within traditional industrial or process industry where complex operating screens filled with objects are required this operator panel steps up and delivers with performance hardware that is finely tuned for kvb hmi solutions aki series memory expansion hdd expansion application memory audio output graphics pdf viewer web browser standard performance premium intel atom ghz windows ce windows ce intel core usb windows standard or embedded sd card sd card via usb or more with robust lightweight aluminum construction this is reliable operator panel which meets environmental requirements quality through design components and production facilities aki cdb specifications electrical and mechanical specifications pixels backlight screen size active display polyester on glass resistive overlay autofex eba polyester on glass resistive overlay autotex or power consumption at rated voltage aluminum atom yes on chip dc dc the power supply must conform with the requirements according to iec and iec and cul the power supply must conform with the requirementsfor class ii power supplies noise tested according to emission and immunity usb host max output current ma front rear seal touch screen material reverse side material processor ram real time clock power supply operating temperature storage temperature relative operating humidity certificates and approvals ce approvals ul cul approvals when product or packing is marked serial ports field buses expansion modules extension module slot for fieldbus optional front panel cut out dimensions mounting depth mm mm including clearance mm mm including clearance mm mm including clearance kollmorgen corporation all rights reserved revision en specifications are subject to change without notice it is the responsibility of the product user to determine the suitability of this product for specific application all trademarks are the property of their respective owners
